Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MAR,1917.25,2181.5,2484.25,2788.75,2813.75,2913.25,2931.25,3057.0,3286.0,3564.25,4085.75,4584.25,5404.0,6207.5,6833.25,8044.5,8987.5,11417.0,13830.5,16253.75,19095.5,21673.5,24600.5
MOZ,12.75,24.5,32.25,33.5,44.5,47.5,49.5,70.0,87.0,119.75,168.75,175.25,227.5,253.75,268.0,309.25,333.5,451.5,526.5,615.5,670.0,722.25,769.25
MMR,15.0,24.75,16.5,20.75,21.25,29.75,30.0,26.0,38.25,37.0,39.5,45.5,43.75,54.5,50.25,66.75,88.75,131.75,249.0,423.0,700.0,1119.25,1236.5
NAM,61.0,56.0,59.25,50.0,57.75,71.25,96.75,125.5,130.25,139.0,127.25,96.5,100.75,112.5,136.25,175.25,233.5,310.5,312.75,367.25,376.5,441.75,495.5
NPL,143.25,174.75,239.75,255.0,329.75,371.75,450.0,601.25,713.75,826.75,879.0,922.0,1013.25,1180.25,1359.0,1492.0,1674.5,1920.25,2197.25,2523.75,2980.5,3665.5,4541.75
NLD,58816.0,60425.75,61597.5,63746.25,67304.75,71106.75,76460.5,82424.75,88209.0,94094.75,100461.5,106191.75,112042.0,118516.25,123264.0,128337.75,133734.75,138903.25,143351.5,148251.25,152727.0,157561.75,165698.5
NZL,12823.25,13449.75,13807.75,14180.75,14834.5,15711.0,17151.0,18902.0,20664.0,22224.25,23506.0,24946.5,26661.25,28427.5,30003.5,31625.0,32886.75,34612.25,36104.25,37708.0,39759.5,41261.75,43409.75
NIC,21.25,18.0,14.5,9.5,6.0,7.25,21.5,49.25,52.75,61.75,65.25,66.25,73.25,79.0,90.75,85.5,83.5,91.5,109.5,116.75,108.0,93.5,58.25
NER,77.5,91.25,75.75,51.0,33.5,29.0,34.25,52.75,47.25,72.75,91.5,124.25,143.75,137.5,148.5,137.75,161.0,180.5,174.5,156.5,126.25,104.25,95.75
NGA,2210.75,2274.75,2347.75,2479.75,2762.75,3011.5,3645.75,4626.25,5864.25,7271.5,8756.0,9823.0,10987.25,11571.5,11684.0,11968.0,12346.5,13506.25,15262.0,18306.0,22338.75,27206.5,32998.5
PRK,,,,,,,,,,,,,,,,,,7.25,9.25,60.75,100.75,114.5,141.25
NOR,15217.25,15638.25,16033.0,16414.75,17255.0,18495.75,20262.75,22704.5,25361.0,27705.5,30461.5,32752.75,35154.75,37876.75,39654.25,42156.5,44856.5,48466.0,52132.0,55345.0,58404.75,61319.5,65360.5
OMN,241.5,267.5,351.25,457.5,558.0,628.25,725.5,839.75,953.5,1056.5,1207.75,1356.0,1555.75,1793.5,1977.0,2259.0,2653.0,3212.25,3673.5,4217.25,4688.0,5100.0,6210.0
PAK,1795.25,1943.25,2063.0,2303.25,2586.0,3007.25,3585.0,4734.5,6019.75,7829.0,10054.5,12306.25,15190.75,17470.25,19745.75,22075.0,24520.75,28944.25,34470.75,41834.5,51891.0,62761.75,76324.5
PSE,,,6.75,8.25,22.5,65.25,80.75,137.25,211.25,252.25,332.25,349.5,404.5,453.0,597.75,744.5,782.25,902.25,1052.75,1223.75,1570.5,1888.75,2180.0
PAN,155.25,156.0,182.25,194.25,221.25,265.75,307.5,352.0,396.25,458.5,520.25,580.0,615.75,706.75,774.75,827.0,890.0,910.75,929.25,1014.5,1045.0,1099.5,1210.5
PNG,105.0,102.5,135.5,134.75,134.5,120.5,101.0,101.5,102.25,128.75,142.25,165.5,162.25,155.25,161.25,174.5,171.0,174.75,163.5,173.5,160.75,157.5,151.0
PRY,18.5,7.0,6.0,9.5,11.25,13.5,17.5,17.0,21.75,37.5,32.0,48.5,51.75,85.0,77.0,85.5,119.75,153.0,231.75,256.5,234.75,183.5,192.5
PER,297.5,368.75,391.0,464.75,623.0,729.5,859.75,1058.75,1163.0,1367.0,1601.75,1738.75,1975.75,2256.75,2405.0,2680.5,3100.75,3730.0,4644.0,5850.25,7332.75,9389.75,11634.0
PHL,880.5,953.5,948.25,1015.0,1119.5,1191.25,1397.25,1510.25,1649.0,1792.75,1938.5,2162.5,2445.75,2729.75,3124.5,3520.25,4040.75,5348.75,6741.0,7966.0,10637.75,12478.5,14511.5
POL,30954.5,32599.5,35004.0,38173.0,41817.0,46119.75,50658.75,55521.0,59285.5,62877.5,65456.5,67177.75,70417.75,74237.75,79953.75,86951.5,95688.0,105429.5,113322.0,122456.25,130624.5,141143.5,154146.5
PRT,8533.75,9699.0,10930.25,12264.75,13786.5,15684.0,17601.75,20604.0,23468.25,26935.25,30618.25,33852.5,37863.25,41836.25,46260.5,50760.25,55287.25,59464.75,62394.5,65602.25,69690.5,75036.75,83324.25
PRI,954.25,952.25,933.0,885.25,926.0,1007.0,1202.5,1486.0,1650.0,1862.25,1946.25,1933.75,2016.75,1952.5,1848.75,1763.25,1571.75,1423.75,1455.0,1410.5,1362.25,1207.25,1088.0
QAT,13.75,15.0,36.25,53.75,78.75,118.0,174.75,233.25,329.75,467.0,694.0,931.25,1312.0,1781.0,2496.25,3759.0,5491.5,7394.5,8812.25,9809.75,10660.0,11688.5,13228.5
ROU,6137.25,6901.75,7164.0,7643.25,8470.75,9108.5,10470.25,11814.75,13805.75,17031.0,21117.75,25509.75,28952.5,32467.25,34327.0,35565.25,37931.0,40393.0,42852.75,45505.75,48710.25,50018.25,51422.5
RUS,78974.75,80934.75,83625.5,85872.75,87381.5,87718.0,86947.75,85053.0,84216.5,84303.25,84487.5,86001.75,89091.0,92046.0,97105.0,108183.75,125713.75,152277.25,181510.25,214839.0,251254.75,284286.25,314030.25
RWA,6.0,5.0,5.25,,,7.5,,24.25,36.5,41.25,59.5,78.25,99.0,121.75,177.75,206.5,277.5,347.0,397.75,488.5,546.5,647.5,802.5
SAU,4558.5,4537.0,4540.25,4583.0,4867.0,5010.25,5273.0,5516.5,5858.5,6513.75,7872.0,10279.5,14369.25,19759.75,26079.5,33473.75,41047.0,48265.5,54084.5,58784.25,64960.0,76477.25,95755.0
SEN,308.5,308.5,320.25,332.0,371.5,420.25,483.25,502.25,485.0,517.0,517.25,532.25,630.0,731.25,796.25,925.25,966.75,1002.0,1080.75,1176.5,1191.25,1298.75,1231.0
SRB,1324.25,1472.75,1507.25,1706.75,1920.75,2276.0,2976.75,3649.25,4415.75,5901.25,7577.5,9422.5,11707.25,13878.25,15342.5,16610.25,17510.5,17804.5,18463.0,19149.25,20124.0,20805.5,21563.75
SLE,7.25,6.25,,,,,,,,,,8.5,12.0,18.5,20.5,31.5,67.75,107.75,160.25,167.25,177.5,185.75,198.5
SGP,10387.0,12605.25,14593.0,16933.25,19256.5,21475.25,24052.0,26826.25,28855.0,30779.0,32904.0,35059.75,37675.0,40290.25,42872.0,45600.25,49329.5,53509.0,57156.0,60034.75,62300.25,64271.5,66686.0
SVK,6316.25,6280.25,6282.0,6137.5,6418.0,6695.75,7132.75,7776.0,8487.0,9250.0,9919.25,10620.25,11314.25,12165.0,13118.25,14480.25,15944.25,17926.5,20213.25,21620.25,23191.75,23929.75,24682.25
SVN,3681.25,4257.0,4698.5,5300.5,6007.75,6297.5,6936.75,7531.0,8156.0,9115.5,10026.5,10831.5,11555.25,12314.5,13024.0,13777.25,14474.75,14966.75,15445.75,15840.0,16229.75,17025.0,17662.0
ZAF,11096.0,11447.75,11731.25,12360.0,13039.5,14157.75,15525.0,17265.25,18817.5,20570.25,22705.0,24768.25,27440.5,30228.0,33211.75,37745.75,41572.0,46585.0,51903.75,56217.25,62206.25,67701.0,72856.25
KOR,36830.0,42564.75,48767.5,55360.0,63052.25,71603.75,80896.75,93208.25,105425.75,117612.0,129760.0,140532.5,152122.25,164288.5,175349.25,186602.25,198281.0,209842.25,219765.25,228964.75,238706.75,249839.5,266382.5
ESP,66098.5,69866.75,73758.0,78484.5,84176.5,91292.0,99891.0,110387.25,121335.5,132999.75,144953.25,155627.25,167460.75,179558.75,189195.75,200204.5,209067.0,217818.25,225510.75,233354.5,244092.0,259941.5,281524.0
LKA,353.25,394.5,428.25,459.5,554.25,657.25,805.5,943.75,1094.75,1280.25,1437.5,1494.5,1568.25,1638.75,1790.25,2066.75,2290.0,2986.0,3686.5,4473.25,5987.25,6796.5,8236.0
SDN,162.0,163.0,160.25,138.5,143.5,165.0,208.75,250.5,300.0,337.25,481.75,632.5,757.75,839.75,904.5,890.25,963.0,1207.25,1408.0,1753.5,2155.5,2264.5,2747.0
SWE,44650.25,46309.0,47525.5,48497.75,50386.25,52225.0,54683.75,57819.5,60281.0,62617.75,65351.0,67614.0,70693.25,74932.0,78643.0,83588.75,89258.25,95249.25,100116.25,104421.5,107755.25,110759.25,115641.75
CHE,40174.25,41718.25,42614.75,43876.5,46488.0,49529.75,53626.75,58709.0,63047.0,67196.25,71463.5,75369.5,79453.5,84331.25,88820.0,94033.5,99820.75,105593.0,110505.25,114516.25,117508.0,120783.75,126491.0
