Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
TKM,91289043,1535919696,1059759445,161765126,991433430,2426064654,1840772436,2121642138,2129273423,2848237690,3948539717,4256292568,5405603975,6878843306,1519475026,1733358931,6068069013,8795283288,9699784641,9885126062,8258305372,6414897082,6882536763,6993036453,10260743776,8318018322,7527259575,11349914935
TUR,10099256231,10311230973,11204951635,10844104979,10424724822,10087633500,11495347774,12844986051,16220788740,22878315710,27064625817,32507435316,43166022975,61763326081,46538915716,50109394025,59152309519,74178382530,72594602977,72802401954,65611253882,64672614337,67109761506,74809124002,75506698746,69874766856,1.0043E+11,1.17911E+11
UZB,348514756,671758224,723555795,446765991,439271655,762923359,918822741,1016851467,1024943570,1458568649,1656609320,2111207492,2505477484,4491893716,3393430878,2926295120,3454103839,2450397520,4550248265,3985560150,3877904334,5102168404,7833376562,7892013484,10934019046,10426284020,9324719009,11048481324
VNM,3327295307,3807004106,4492593452,4461872814,5321249668,9320708272,9410858703,9377687020,11142315477,14655955642,18317491271,21223578089,24982074632,34421509221,29696554781,31752029363,41312479092,43283010333,43754026889,47756596687,43587139964,45162380840,52290399211,57494817386,59208492489,61594738671,71112727885,78547775127
XXB,20619715212,20445625295,21155731270,19251775505,18958167039,21572942232,19211041700,20841309177,24741607958,31865499943,37844718142,43113483851,50501466080,56462173586,40380843962,52524447617,61739198814,63473726201,63222182805,60351828713,48738872049,46706602903,52933217523,59611367817,54782568446,46513264315,63137019066,71360631525
YEM,1619922453,1788351080,2075632974,1445135647,2093161438,3134105297,2666232740,2446515607,3352103386,4511578646,6289037705,7276857369,7207065331,9541713167,6014555711,7260286023,8722704978,8067420024,8897499777,5974819030,1959105047,925332519,2153590342,1513740247,1450701773,1450501076,1911060465,1612247430
ALB,107124448,177932302,129668168,120190506,116640404,113651075,123402638,140297152,161790264,237804193,300141322,361398778,590680910,1110243596,1288708020,1034031109,1332497154,1321220675,1799966349,1398386605,1187865008,1115258033,1168974849,1148097239,1229159898,1216303183,1701536234,2375982909
AUT,19592526406,19077559813,18952417225,20310138075,19456876716,19820625523,21049083054,23205682025,28397334310,35178347100,40778161167,47015110913,52935482295,59859004634,45073205334,51325744623,61525571676,57764298495,58777416098,59179727454,49972891266,48764668963,53910984711,60504411969,56876818568,54404042021,68810886633,78838714366
BEL,NaN,NaN,NaN,NaN,60481258148,64612340679,61853529245,67690981449,79525769767,99254728900,1.11955E+11,1.28637E+11,1.5073E+11,1.73727E+11,1.24199E+11,1.21217E+11,1.53334E+11,1.46171E+11,1.48737E+11,1.44995E+11,1.12252E+11,1.08795E+11,1.20075E+11,1.31012E+11,1.2442E+11,1.12177E+11,1.53775E+11,2.17582E+11
BGR,2177967614,2695700200,2825801994,2354675161,2160014409,2730332951,2545283508,2936263911,3486171236,5040568166,6186424802,8904511942,10430534416,13448533780,9483160195,12244396056,16735502063,16638946602,17947795854,16714626754,14218532116,13871557632,16595572700,17537292605,17144107617,16043082902,21644461181,28424060341
